Designator,Mid X,Mid Y,Rotation,Layer
BT1,111.19,-89.99,180.0,top
C1,119.75,-91.86,270.0,top
C10,135.56,-98.16,90.0,top
C11,150.7,-93.8,90.0,top
C12,146.5,-92.91,0.0,top
C13,143.81,-92.9,180.0,top
C14,140.4,-91.42,0.0,top
C15,140.42,-92.88,0.0,top
C16,133.375,-104.65,180.0,top
C17,150.2,-110.2,0.0,top
C18,115.9375,-96.925,90.0,top
C19,104.1,-103.3,0.0,top
C2,126.13,-92.655,270.0,top
C3,128.53,-92.66,270.0,top
C4,124.69,-87.39,270.0,top
C5,132.87,-97.875,90.0,top
C6,136.8,-107.03,270.0,top
C7,148.93,-108.53,0.0,top
C8,148.9,-93.7,0.0,top
C9,151.26,-97.14,90.0,top
D1,135.59,-93.57,0.0,top
D2,113.78,-82.24,90.0,top
D3,111.69,-82.2325,90.0,top
D4,109.57,-82.2525,90.0,top
FB1,138.8875,-89.46,0.0,top
H1,112.298,-125.4,0.0,top
H4,169.05,-83.333,0.0,top
J1,146.105,-125.26,0.0,top
J3,115.4375,-101.975,270.0,bottom
L1,122.5,-98.45,0.0,top
R1,144.272,-118.108,90.0,top
R10,118.65,-85.1,0.0,top
R11,118.29,-82.5,0.0,top
R12,106.4,-101.0,180.0,top
R13,107.08,-88.59,90.0,top
R14,119.5,-87.6,0.0,top
R15,109.31,-86.14,180.0,top
R16,133.02,-94.1,90.0,top
R17,152.01,-99.65,180.0,top
R18,106.41,-110.1,180.0,top
R19,113.77,-79.59,90.0,top
R2,123.31,-85.87,270.0,top
R20,111.71,-79.59,90.0,top
R21,109.58,-79.61,90.0,top
R22,104.2,-110.1,0.0,top
R23,128.155,-99.14,270.0,top
R24,129.555,-99.14,90.0,top
R25,135.425,-102.65,180.0,top
R26,135.37,-101.64,0.0,top
R27,135.35,-100.65,180.0,top
R28,105.6,-87.01,90.0,top
R3,147.1,-118.11,90.0,top
R4,149.8,-112.7,0.0,top
R5,154.49,-104.2,0.0,top
R6,154.69,-102.1,0.0,top
R7,152.49,-94.3,0.0,top
R8,108.71,-94.742,180.0,top
R9,105.6,-89.45,90.0,top
U1,145.61,-113.528749,90.0,top
U2,123.055,-90.82,90.0,top
U3,143.62,-101.395,270.0,top
U4,105.6,-106.0,270.0,top
Y1,146.05,-88.95,180.0,top
